Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,Delivery_Zone,Distance_km,Partner_Type,Fuel_Cost,Partner_Payout,Delivery_Time_min
Fruits & Vegetables,Tomato Cherry ,3500,17,3,2900,200,False,200,North,4.9,Rider,5.88,34.5,15.3
Fruits & Vegetables,Sweet Potato ,3800,15,3,3200,500,False,500,West,4.56,Rider,5.47,32.8,17.3
Fruits & Vegetables,Pineapple Slice,8900,15,3,7500,200,False,200,South,2.56,Cycle,0.0,12.68,12.9
Fruits & Vegetables,Orange,5400,16,3,4500,116,False,2,West,5.81,Cycle,0.0,22.43,32.9
Fruits & Vegetables,Dragon Fruit Imported,7000,15,3,5900,58,False,1,South,3.76,Cycle,0.0,16.28,22.8
Fruits & Vegetables,Zucchini Yellow,4200,16,3,3500,250,False,500,South,0.96,Walker,0.0,6.92,9.4
Fruits & Vegetables,Apple Kinnaur,14200,16,6,11900,232,False,4,West,2.53,Walker,0.0,10.06,24.5
Fruits & Vegetables,Pineapple,9400,15,3,7900,58,False,1,Central,6.58,Rider,7.9,42.9,21.4
Fruits & Vegetables,Basil,2000,15,3,1700,100,False,100,South,6.03,Cycle,0.0,23.09,31.3
Fruits & Vegetables,Parsley,1700,17,3,1400,100,False,100,South,6.88,Walker,0.0,18.76,63.1
Fruits & Vegetables,Ridge Gourd,3000,16,3,2500,500,False,500,West,4.58,Cycle,0.0,18.74,27.8
Fruits & Vegetables,Papaya Cut,4600,15,3,3900,200,False,200,South,2.11,Walker,0.0,9.22,18.0
Fruits & Vegetables,Pomegranate Peeled,5800,15,2,4900,100,False,100,South,1.56,Walker,0.0,8.12,15.3
Fruits & Vegetables,Pear Green Imported,8200,15,3,6900,116,False,2,West,1.71,Rider,2.05,18.55,8.3
Fruits & Vegetables,Guava Thai,7000,15,3,5900,116,False,2,West,0.63,Rider,0.76,13.15,2.4
Fruits & Vegetables,Lettuce Red,2000,15,3,1700,100,False,100,North,3.04,Walker,0.0,11.08,29.7
Fruits & Vegetables,Mango Raw,6000,16,3,5000,500,False,500,Central,1.74,Rider,2.09,18.7,6.6
Fruits & Vegetables,Biryani /Pulav Mix,5800,15,3,4900,250,False,250,Central,3.18,Walker,0.0,11.36,30.1
Fruits & Vegetables,Banana Nendran,5400,16,6,4500,500,False,500,South,6.58,Walker,0.0,18.16,58.9
Fruits & Vegetables,Pumpkin Cut,3000,16,3,2500,200,False,200,Central,3.3,Cycle,0.0,14.9,17.3
Fruits & Vegetables,Banana Red,5400,16,6,4500,500,False,500,South,6.21,Rider,7.45,41.05,30.2
Fruits & Vegetables,Radish White,2300,17,6,1900,500,False,500,North,4.44,Rider,5.33,32.2,17.4
Fruits & Vegetables,Avocado Indian Premium,17700,15,3,14900,58,False,1,West,2.11,Rider,2.53,20.55,9.4
Fruits & Vegetables,Banana Leaf,1200,16,2,1000,58,False,1,West,2.81,Cycle,0.0,13.43,16.1
Fruits & Vegetables,Sponge Gourd,2500,16,2,2100,300,False,300,West,1.05,Cycle,0.0,8.15,5.3
Fruits & Vegetables,Zama Organics Carrot,2000,15,3,1700,250,False,250,Central,2.67,Cycle,0.0,13.01,13.9
Fruits & Vegetables,Safal Frozen - Mixed Vegetables,11000,4,2,10500,1000,False,1,North,4.9,Rider,5.88,34.5,19.6
Fruits & Vegetables,Zama Organics Sweet Potato,3700,16,3,3100,250,False,250,Central,0.97,Rider,1.16,14.85,4.2
Fruits & Vegetables,Beetroot,1600,18,3,1300,500,False,500,Central,1.84,Rider,2.21,19.2,6.8
Fruits & Vegetables,Capsicum,2600,19,3,2100,500,False,500,North,2.98,Cycle,0.0,13.94,19.0
Fruits & Vegetables,Carrot,1900,21,3,1500,500,False,500,North,6.88,Cycle,0.0,25.64,44.0
Fruits & Vegetables,Garlic,1700,23,3,1300,200,False,200,North,5.6,Walker,0.0,16.2,52.7
Fruits & Vegetables,Carrot,1300,15,0,1100,250,True,200,North,5.27,Cycle,0.0,20.81,31.5
Fruits & Vegetables,Beetroot,1100,18,0,900,250,True,250,West,1.26,Walker,0.0,7.52,12.4
Fruits & Vegetables,Moong Sprouts,3500,17,0,2900,200,True,200,East,5.58,Rider,6.7,37.9,22.2
Fruits & Vegetables,Safal Frozen Mixed Vegetables,6000,5,0,5700,500,True,500,East,5.6,Cycle,0.0,21.8,33.0
Fruits & Vegetables,Safal Frozen Corn,4100,4,0,3900,200,True,200,North,4.41,Rider,5.29,32.05,15.0
Fruits & Vegetables,Safal Frozen - Sweet Corn,16000,5,0,15200,1000,True,1,East,6.94,Rider,8.33,44.7,25.1
Cooking Essentials,Maggi 2 Minute Masala Noodles,1200,0,6,1200,70,False,70,East,2.61,Rider,3.13,23.05,8.1
Cooking Essentials,iD Idli & Dosa Batter ,8000,15,6,6800,1000,False,1,North,6.62,Rider,7.94,43.1,28.2
Cooking Essentials,Tata Salt,2400,0,6,2400,1000,False,1,East,6.45,Cycle,0.0,24.35,35.5
Cooking Essentials,Arden Eggs White,9700,0,4,9700,696,False,12,Central,0.57,Rider,0.68,12.85,2.1
Cooking Essentials,Arden Eggs White,6500,15,4,5500,348,False,6,South,3.43,Walker,0.0,11.86,32.7
Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),23000,4,6,21900,1000,False,1,South,6.85,Cycle,0.0,25.55,38.7
Cooking Essentials,Aashirvaad Superior MP Atta,25000,2,6,24500,5000,False,5,North,1.17,Rider,1.4,15.85,4.1
Cooking Essentials,Amul Pure Ghee (Pouch),25500,2,6,24900,500,False,500,West,4.06,Cycle,0.0,17.18,21.7
Cooking Essentials,Arden Eggs Brown,8500,7,4,7900,348,False,6,North,6.86,Walker,0.0,18.72,65.5
Cooking Essentials,Tata Salt Lite,4000,10,6,3600,1000,False,1,West,4.11,Rider,4.93,30.55,13.4
Cooking Essentials,Saffola Gold Oil (Pouch),21500,0,6,21500,1000,False,1,South,1.73,Walker,0.0,8.46,15.4
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),92500,0,6,92500,5000,False,5,North,4.28,Rider,5.14,31.4,17.2
Cooking Essentials,Fortune Rice Bran (Pouch),22500,11,6,19900,1000,False,1,Central,1.83,Walker,0.0,8.66,17.2
Cooking Essentials,Saffola Active Oil,21000,0,6,21000,1000,False,1,East,3.88,Rider,4.66,29.4,16.6
Cooking Essentials,Amul Pure Ghee (Pouch),50500,1,2,49900,1000,False,1,West,0.98,Cycle,0.0,7.94,6.5
Cooking Essentials,Aashirvaad Atta,46000,13,6,39900,10000,False,10,East,4.44,Rider,5.33,32.2,13.7
Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),16000,6,4,14900,1000,False,1,East,3.86,Cycle,0.0,16.58,21.6
Cooking Essentials,Amul Ghee (Tin),52000,2,6,50900,1000,False,1,North,5.31,Rider,6.37,36.55,18.9
Cooking Essentials,Amul Fresh Cream,19700,3,3,19100,1000,False,1,East,4.6,Rider,5.52,33.0,15.1
Cooking Essentials,Popular Essentials Pure Jaggery,5000,2,6,4900,450,False,450,Central,4.07,Walker,0.0,13.14,34.9
Cooking Essentials,Aashirvaad Multigrain Atta,6400,3,2,6200,1000,False,1,East,4.98,Walker,0.0,14.96,42.9
Cooking Essentials,Fortune Soyabean Oil,100500,0,6,99900,5000,False,5,North,1.44,Walker,0.0,7.88,13.0
Cooking Essentials,Popular Essentials Sunflower Seeds,2500,0,6,2500,50,False,50,Central,4.37,Rider,5.24,31.85,18.9
Cooking Essentials,Tata Sampann kabuli chana,18500,1,4,18300,1000,False,500,South,1.62,Rider,1.94,18.1,6.1
Cooking Essentials,Dhara Groundnut Oil (Pouch),23000,11,6,20300,1000,False,1,East,6.52,Rider,7.82,42.6,28.9
Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,120000,18,6,98400,5000,False,5,North,0.94,Cycle,0.0,7.82,5.3
Cooking Essentials,24 Mantra Organic Jaggery Powder,8000,15,6,6800,500,False,500,South,3.3,Cycle,0.0,14.9,18.4
Cooking Essentials,Tata Sampann High Protien Kabuli Chana,9400,0,1,9400,500,False,500,South,5.02,Rider,6.02,35.1,20.5
Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,125000,8,6,114300,5000,False,5,West,3.48,Walker,0.0,11.96,28.0
Cooking Essentials,D'lecta Dairy Cream,5400,5,6,5100,200,False,200,Central,1.1,Walker,0.0,7.2,9.0
Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,1500,0,3,1500,60,False,60,East,4.1,Walker,0.0,13.2,36.2
Cooking Essentials,Dabur Ginger Garlic Paste,2500,8,3,2300,100,False,100,North,4.67,Rider,5.6,33.35,22.8
Cooking Essentials,Ching's Secret Instant Schezwan Noodles,1500,0,6,1500,60,False,60,West,5.07,Walker,0.0,15.14,47.9
Cooking Essentials,Gowardhan Ghee/Tuppa Jar,31500,1,6,30900,500,False,500,Central,2.93,Rider,3.52,24.65,9.3
Cooking Essentials,Tata Sampann Unpolished Moong Dal ,9200,4,4,8800,500,False,500,West,4.16,Cycle,0.0,17.48,27.8
Cooking Essentials,Aashirvaad Select Atta,6400,0,6,6400,1000,False,1,Central,3.43,Walker,0.0,11.86,32.5
Cooking Essentials,Popular Essentials Misri Dana (Diamond Sugar) ,1500,0,4,1500,100,False,100,Central,4.87,Cycle,0.0,19.61,30.3
Cooking Essentials,Gowardhan Ghee Jar,59800,3,6,57900,1000,False,1,East,4.29,Walker,0.0,13.58,41.4
Cooking Essentials,Top Ramen  Noodles Curry Veg Pouch,2000,0,1,2000,70,False,70,Central,3.92,Rider,4.7,29.6,14.9
Cooking Essentials,Popular Essentials Refined Sugar,6000,0,6,6000,1000,False,1,West,2.12,Rider,2.54,20.6,7.3
Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,21600,7,6,19900,1000,False,1,Central,0.51,Rider,0.61,12.55,2.1
Cooking Essentials,Saffola Veggie Twist Masala Oats,1500,0,6,1500,38,False,38,East,1.63,Rider,1.96,18.15,6.7
Cooking Essentials,Satyam Puffed Rice Kurmura (R),2300,0,6,2300,200,False,200,East,1.26,Walker,0.0,7.52,11.4
Cooking Essentials,Quaker Oats,7900,0,2,7900,400,False,400,West,3.42,Cycle,0.0,15.26,21.0
Cooking Essentials,Aashirvaad Select Sharbati Atta,31500,10,6,28300,5000,False,5,South,4.48,Rider,5.38,32.4,21.9
Cooking Essentials,Popular Essentials Refined Sugar,29500,10,6,26500,5000,False,5,South,1.89,Walker,0.0,8.78,18.5
Cooking Essentials,Gowardhan Cow Ghee Pouch,57900,10,6,52100,1000,False,1,Central,6.6,Cycle,0.0,24.8,44.6
Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,21000,5,6,19900,1000,False,1,North,0.54,Rider,0.65,12.7,2.5
Cooking Essentials,Parachute Oil ,4000,7,3,3700,100,False,100,Central,5.52,Cycle,0.0,21.56,38.0
Cooking Essentials,Popular Essentials Plain Puffed Rice (Murmura/Muri),1800,0,6,1800,100,False,100,West,4.56,Rider,5.47,32.8,14.6
Cooking Essentials,Amul Mithai Mate Condensed Sweetened Milk,5600,3,4,5400,200,False,200,West,2.93,Cycle,0.0,13.79,16.2
Cooking Essentials,Saffola Gold (Jar),124000,0,6,124000,5000,False,5,West,0.83,Cycle,0.0,7.49,5.0
Cooking Essentials,McCain New Mini Samosa with Cheese Pizza Style Filling,12000,1,3,11800,240,False,240,West,4.58,Rider,5.5,32.9,21.5
Cooking Essentials,Fortune Rice Bran Health Oil (Jar),105000,1,6,103900,5000,False,5,West,3.01,Walker,0.0,11.02,27.1
Cooking Essentials,Arden Desi Eggs,11000,13,4,9500,348,False,6,East,6.59,Cycle,0.0,24.77,42.8
Cooking Essentials,Fortune Rozana Basmati Rice,58500,21,6,46200,5000,False,5,South,4.02,Rider,4.82,30.1,13.2
Cooking Essentials,Fortune Biriyani Special Basmati Rice,17500,0,5,17500,1000,False,1,West,6.61,Cycle,0.0,24.83,36.4
Cooking Essentials,Everest Garam Masala,7800,7,5,7200,100,False,100,North,1.93,Cycle,0.0,10.79,12.5
Cooking Essentials,Popular Essentials Pumpkin Seeds,9000,16,6,7500,100,False,100,North,5.22,Walker,0.0,15.44,43.5
Cooking Essentials,Fortune Soya Health Refined Soybean Oil,21000,1,2,20600,1000,False,1,North,4.51,Cycle,0.0,18.53,25.7
Cooking Essentials,Gowardhan Pure Ghee Pouch,29500,4,6,28100,500,False,500,North,5.31,Cycle,0.0,20.93,29.4
Cooking Essentials,Popular Essentials Jeera/Cumin Seeds,4000,5,3,3800,100,False,100,East,1.9,Rider,2.28,19.5,7.0
Cooking Essentials,Weikfield Baking Soda,3000,3,6,2900,100,False,100,North,4.82,Rider,5.78,34.1,21.3
Cooking Essentials,Everest Pav Bhaji Masala,3700,10,4,3300,50,False,50,West,3.74,Walker,0.0,12.48,32.7
Cooking Essentials,Tata Sampann Unpolished Chana Dal,9500,6,2,8900,1000,False,500,Central,5.33,Cycle,0.0,20.99,32.6
Cooking Essentials,Amul Mithai Mate EOE Tin,11200,2,6,10900,400,False,400,North,2.63,Cycle,0.0,12.89,13.7
Cooking Essentials,Pillsbury Chakki Fresh Atta,45000,16,6,37500,10000,False,10,East,6.29,Cycle,0.0,23.87,41.6
Cooking Essentials,Everest Chicken Masala,3900,2,1,3800,50,False,50,East,1.05,Walker,0.0,7.1,9.2
Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),20500,7,6,19000,1000,False,1,North,5.75,Cycle,0.0,22.25,36.2
Cooking Essentials,Borges Extra Virgin Olive Oil,40000,25,1,29900,250,False,250,Central,6.1,Rider,7.32,40.5,27.1
Cooking Essentials,Everest Shahi Biryani Masala,7000,14,6,6000,50,False,50,North,5.81,Walker,0.0,16.62,48.9
Cooking Essentials,Popular Essentials Californian Almond,35000,28,6,25100,250,False,250,East,3.83,Rider,4.6,29.15,18.3
Cooking Essentials,Popular Essentials Ajwain Whole,2500,0,4,2500,50,False,50,South,3.35,Rider,4.02,26.75,14.2
Cooking Essentials,Everest Tikhalal Chilli Powder,23500,9,6,21200,500,False,500,West,6.98,Walker,0.0,18.96,61.8
Cooking Essentials,Popular Essentials Kabuli Chana Regular,8500,9,6,7700,500,False,500,East,1.99,Rider,2.39,19.95,6.7
Cooking Essentials,Pillsbury Chakki Fresh Atta,5200,0,4,5200,1000,False,1,North,4.05,Cycle,0.0,17.15,27.9
Cooking Essentials,Popular Essentials Saunf/Fennel Seeds,4500,2,6,4400,100,False,100,West,4.86,Walker,0.0,14.72,46.2
Cooking Essentials,Popular Essentials Bansi Sooji,3500,2,3,3400,500,False,500,North,5.06,Rider,6.07,35.3,17.3
Cooking Essentials,Happilo Premium International Queen Kalmi Dates,24500,29,6,17200,200,False,200,North,1.83,Cycle,0.0,10.49,10.4
Cooking Essentials,Tata Sampann Unpolished Urad Whole,10100,6,4,9400,500,False,500,South,4.75,Cycle,0.0,19.25,31.4
Cooking Essentials,Popular Essentials Cashew Split,32500,12,6,28300,250,False,250,West,5.82,Rider,6.98,39.1,25.6
Cooking Essentials,Popular Essentials Chana Dal (Un-Polished),6000,10,6,5400,500,False,500,West,0.83,Cycle,0.0,7.49,5.4
Cooking Essentials,Tata Sampann Unpolished Rajma (Chitra),13400,6,6,12500,500,False,500,South,6.42,Walker,0.0,17.84,57.0
Cooking Essentials,Everest Garam Masala,4200,2,2,4100,50,False,50,East,0.69,Rider,0.83,13.45,3.1
Cooking Essentials,Everest Kitchen King Masala,7000,14,2,6000,100,False,100,North,2.81,Cycle,0.0,13.43,16.2
Cooking Essentials,24 Mantra Organic Cumin,7000,7,2,6500,100,False,100,Central,0.6,Cycle,0.0,6.8,3.3
Cooking Essentials,Nestle Milkmaid,13200,3,6,12800,400,False,400,North,1.0,Rider,1.2,15.0,4.3
Cooking Essentials,Popular Essentials Sona Masouri Steam Rice,6500,9,6,5900,1000,False,1,North,6.42,Rider,7.7,42.1,31.8
Cooking Essentials,24 Mantra Organic Tur Dal,26000,20,6,20800,1000,False,1,East,2.81,Rider,3.37,24.05,10.2
Cooking Essentials,Gits Gulab Jamun Instant Dessert Mix,9900,10,6,8900,200,False,200,North,3.26,Rider,3.91,26.3,12.8
Cooking Essentials,Popular Essentials Black Masoor Whole (Un-Polished),6500,10,3,5800,500,False,500,South,1.9,Walker,0.0,8.8,17.8
Cooking Essentials,24 Mantra Organic Peanuts,13500,7,1,12500,500,False,500,South,4.38,Rider,5.26,31.9,17.9
Cooking Essentials,Everest Hingraj Powder,9000,10,2,8100,50,False,50,West,4.37,Walker,0.0,13.74,42.3
Cooking Essentials,Everest Black Pepper Powder,13500,14,6,11500,100,False,100,Central,2.92,Walker,0.0,10.84,27.8
Cooking Essentials,Tata Sampann Masoor Dal Stand,15000,10,4,13400,1000,False,1,North,2.66,Rider,3.19,23.3,8.3
Cooking Essentials,24 Mantra Organic Besan,9500,7,5,8800,500,False,500,North,6.25,Walker,0.0,17.5,62.5
Cooking Essentials,Quaker Oats,19900,7,6,18400,1000,False,1,East,2.99,Rider,3.59,24.95,13.5
Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),48500,7,6,44900,2000,False,2,South,3.71,Rider,4.45,28.55,17.5
Cooking Essentials,Nestle Everyday Dairy Whitener,21000,0,4,21000,400,False,400,Central,2.34,Cycle,0.0,12.02,14.7
Cooking Essentials,24 Mantra Organic Red Poha,7500,8,1,6900,500,False,500,West,5.61,Rider,6.73,38.05,26.4
Cooking Essentials,Everest Powder - Tea Masala,9800,9,5,8900,100,False,100,South,3.08,Cycle,0.0,14.24,16.1
Cooking Essentials,Tata Sampann Urad Dal Split,9400,4,6,9000,500,False,500,West,3.84,Walker,0.0,12.68,33.4
Cooking Essentials,Popular Essentials Idli Sooji ,3000,6,6,2800,500,False,500,East,2.15,Cycle,0.0,11.45,14.5
Cooking Essentials,Popular Essentials Dessicated Coconut,9500,9,6,8600,200,False,200,East,6.92,Walker,0.0,18.84,58.2
Cooking Essentials,Sunfeast Yippee! Mood Masala Noodles,6000,28,3,4300,260,False,260,North,2.39,Rider,2.87,21.95,7.5
Cooking Essentials,Chef's Basket Durum Wheat Elbow Pasta,16000,50,6,8000,500,False,500,Central,5.51,Walker,0.0,16.02,52.8
Cooking Essentials,MTR Breakfast Khatta Meetha Poha Mix,2500,20,6,2000,60,False,60,West,3.28,Walker,0.0,11.56,31.7
Cooking Essentials,Satyam Khobra,11300,10,5,10100,200,False,200,South,1.84,Rider,2.21,19.2,6.1
Cooking Essentials,Betty Crocker Complete Pancake Mix Original,11000,4,6,10500,250,False,500,East,5.7,Walker,0.0,16.4,55.3
Cooking Essentials,Borges Durum Wheat Fusilli Pasta ,25000,0,3,25000,500,False,500,North,2.67,Rider,3.2,23.35,11.7
Cooking Essentials,24 Mantra Organic Green Moong Dal - Split,13500,0,2,13500,500,False,500,North,6.12,Cycle,0.0,23.36,37.0
Cooking Essentials,Weikfield Vanilla Flavoured Custard Powder,3700,0,6,3700,100,False,100,West,6.45,Rider,7.74,42.25,30.1
Cooking Essentials,Tata Sampann Moong Dal Split,18000,1,5,17800,1000,False,200,East,6.09,Rider,7.31,40.45,23.4
Cooking Essentials,Tata Sampann Kala Chana,6400,0,5,6400,500,False,500,Central,0.73,Walker,0.0,6.46,6.1
Cooking Essentials,Saffola Soya Chunks Mealmaker,5000,0,2,5000,200,False,200,East,5.62,Cycle,0.0,21.86,31.3
Cooking Essentials,24 Mantra Bura Sugar (Demerara),8000,10,6,7200,500,False,500,West,3.17,Rider,3.8,25.85,12.7
Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),20000,1,6,19800,50,False,50,West,6.18,Cycle,0.0,23.54,37.5
Cooking Essentials,Hershey's Syrup Delicious Strawberry,9500,0,1,9500,200,False,200,East,4.65,Cycle,0.0,18.95,30.7
Cooking Essentials,Popular Essentials Anjeer,19000,11,4,16900,100,False,100,West,5.92,Walker,0.0,16.84,56.7
Cooking Essentials,Popular Essentials Mustard Seeds Rai Small,2000,0,2,2000,100,False,100,East,3.75,Rider,4.5,28.75,15.6
Cooking Essentials,Weikfield Baking Powder,3300,3,6,3200,100,False,100,South,3.98,Walker,0.0,12.96,38.1
Cooking Essentials,Dabur Honey Squeezy,18500,9,6,16700,225,False,225,East,1.44,Rider,1.73,17.2,4.9
Cooking Essentials,Tata Sampann High Protein Kali Urad,9100,14,6,7800,500,False,500,East,5.6,Cycle,0.0,21.8,28.6
Cooking Essentials,Everest Kitchen King Masala,3700,2,6,3600,50,False,50,West,3.23,Rider,3.88,26.15,15.3
Cooking Essentials,Chef's Basket Durum Wheat Fusilli Pasta,16000,50,6,8000,500,False,500,West,3.75,Rider,4.5,28.75,11.8
Cooking Essentials,TilSona Til Oil,18000,10,2,16200,500,False,500,North,5.6,Cycle,0.0,21.8,30.8
Cooking Essentials,Top Ramen Chicken Noodles,6000,10,1,5400,280,False,280,North,4.39,Cycle,0.0,18.17,28.1
Cooking Essentials,Everest Chaat Masala,3500,2,1,3400,50,False,50,South,1.81,Rider,2.17,19.05,6.9
Cooking Essentials,Keya Wonder Red Hot Chilli Flakes,8900,10,2,8000,40,False,40,North,4.34,Walker,0.0,13.68,42.3
Cooking Essentials,Popular Essentials White Peas (Un-Polished),8000,10,5,7200,500,False,500,East,3.15,Rider,3.78,25.75,11.3
